Date,trading_time,score
2015-01-16,2015-01-16 09:30:00+00:00,0.014011428571428567
2015-01-19,2015-01-19 09:30:00+00:00,-0.009792682926829267
2015-01-20,2015-01-20 09:30:00+00:00,0.09838333333333334
2015-01-21,2015-01-21 09:30:00+00:00,0.0
2015-01-22,2015-01-22 09:30:00+00:00,0.2607333333333333
2015-01-23,2015-01-23 09:30:00+00:00,0.002089999999999992
2015-01-26,2015-01-26 09:30:00+00:00,0.03142954545454545
2015-01-27,2015-01-27 09:30:00+00:00,0.0212
2015-01-28,2015-01-28 09:30:00+00:00,-0.01171052631578947
2015-01-29,2015-01-29 09:30:00+00:00,0.1749757575757576
2015-01-30,2015-01-30 09:30:00+00:00,0.00990178571428572
2015-02-02,2015-02-02 09:30:00+00:00,0.08267741935483872
2015-02-03,2015-02-03 09:30:00+00:00,0.06307291666666666
2015-02-04,2015-02-04 09:30:00+00:00,0.07884193548387096
2015-02-05,2015-02-05 09:30:00+00:00,-0.05216551724137932
2015-02-06,2015-02-06 09:30:00+00:00,0.07780416666666667
2015-02-09,2015-02-09 09:30:00+00:00,0.06473142857142858
2015-02-10,2015-02-10 09:30:00+00:00,0.14049375000000003
2015-02-11,2015-02-11 09:30:00+00:00,0.062052272727272734
2015-02-12,2015-02-12 09:30:00+00:00,0.05322096774193549
2015-02-13,2015-02-13 09:30:00+00:00,0.040901999999999994
2015-02-16,2015-02-16 09:30:00+00:00,0.1463751824817518
2015-02-17,2015-02-17 09:30:00+00:00,0.05674
2015-02-18,2015-02-18 09:30:00+00:00,-0.03992692307692307
2015-02-19,2015-02-19 09:30:00+00:00,0.10131025641025643
2015-02-20,2015-02-20 09:30:00+00:00,-0.03973846153846156
2015-02-23,2015-02-23 09:30:00+00:00,-0.02140175438596491
2015-02-24,2015-02-24 09:30:00+00:00,0.013518965517241379
2015-02-25,2015-02-25 09:30:00+00:00,-0.040174509803921565
2015-02-26,2015-02-26 09:30:00+00:00,-0.20506785714285702
2015-02-27,2015-02-27 09:30:00+00:00,0.0358025641025641
2015-03-02,2015-03-02 09:30:00+00:00,-0.04455844155844157
2015-03-03,2015-03-03 09:30:00+00:00,-0.00727272727272727
2015-03-04,2015-03-04 09:30:00+00:00,0.06990704225352112
2015-03-05,2015-03-05 09:30:00+00:00,-0.08492105263157897
2015-03-06,2015-03-06 09:30:00+00:00,0.0348983606557377
2015-03-09,2015-03-09 09:30:00+00:00,0.04114549549549552
2015-03-10,2015-03-10 09:30:00+00:00,0.02599144385026739
2015-03-11,2015-03-11 09:30:00+00:00,0.010661032863849767
2015-03-12,2015-03-12 09:30:00+00:00,-0.030098373983739834
2015-03-13,2015-03-13 09:30:00+00:00,0.09900112359550564
2015-03-16,2015-03-16 09:30:00+00:00,0.015616504854368938
2015-03-17,2015-03-17 09:30:00+00:00,0.016559999999999995
2015-03-18,2015-03-18 09:30:00+00:00,0.06041707317073172
2015-03-19,2015-03-19 09:30:00+00:00,0.03873333333333333
2015-03-20,2015-03-20 09:30:00+00:00,0.07412142857142856
2015-03-23,2015-03-23 09:30:00+00:00,0.03543958333333332
2015-03-24,2015-03-24 09:30:00+00:00,0.09294347826086956
2015-03-25,2015-03-25 09:30:00+00:00,0.060557894736842095
2015-03-26,2015-03-26 09:30:00+00:00,0.011607692307692308
2015-03-27,2015-03-27 09:30:00+00:00,-0.02777142857142857
2015-03-30,2015-03-30 09:30:00+00:00,0.100004
2015-03-31,2015-03-31 09:30:00+00:00,0.06641025641025641
2015-04-01,2015-04-01 09:30:00+00:00,0.045145833333333336
2015-04-02,2015-04-02 09:30:00+00:00,0.13042758620689654
2015-04-03,2015-04-03 09:30:00+00:00,0.0
2015-04-06,2015-04-06 09:30:00+00:00,-0.016394594594594594
2015-04-07,2015-04-07 09:30:00+00:00,0.0455
2015-04-08,2015-04-08 09:30:00+00:00,-0.008138095238095238
2015-04-09,2015-04-09 09:30:00+00:00,0.021860273972602737
2015-04-10,2015-04-10 09:30:00+00:00,0.002103703703703695
2015-04-13,2015-04-13 09:30:00+00:00,0.08939536679536686
2015-04-14,2015-04-14 09:30:00+00:00,0.018776712328767122
2015-04-15,2015-04-15 09:30:00+00:00,0.02241060606060606
2015-04-16,2015-04-16 09:30:00+00:00,-0.0003765957446808497
2015-04-17,2015-04-17 09:30:00+00:00,0.09708750000000001
2015-04-20,2015-04-20 09:30:00+00:00,-0.00702280701754386
2015-04-21,2015-04-21 09:30:00+00:00,0.03839310344827586
2015-04-22,2015-04-22 09:30:00+00:00,-0.0016645161290322593
2015-04-23,2015-04-23 09:30:00+00:00,0.020494285714285708
2015-04-24,2015-04-24 09:30:00+00:00,0.028028888888888895
2015-04-27,2015-04-27 09:30:00+00:00,0.05112850241545894
2015-04-28,2015-04-28 09:30:00+00:00,0.06743014705882354
2015-04-29,2015-04-29 09:30:00+00:00,0.09255593220338983
2015-04-30,2015-04-30 09:30:00+00:00,-0.08619833333333335
2015-05-01,2015-05-01 09:30:00+00:00,-0.04943975903614457
2015-05-04,2015-05-04 09:30:00+00:00,-0.009776543209876538
2015-05-05,2015-05-05 09:30:00+00:00,-0.02007692307692308
2015-05-06,2015-05-06 09:30:00+00:00,0.029535
2015-05-07,2015-05-07 09:30:00+00:00,-2.5581395348835684e-05
2015-05-08,2015-05-08 09:30:00+00:00,0.16113076923076924
2015-05-11,2015-05-11 09:30:00+00:00,0.07686046511627907
2015-05-12,2015-05-12 09:30:00+00:00,0.08643076923076921
2015-05-13,2015-05-13 09:30:00+00:00,0.036925
2015-05-14,2015-05-14 09:30:00+00:00,0.1229625
2015-05-15,2015-05-15 09:30:00+00:00,0.05710645161290323
2015-05-18,2015-05-18 09:30:00+00:00,0.04021538461538461
2015-05-19,2015-05-19 09:30:00+00:00,0.08266451612903229
2015-05-20,2015-05-20 09:30:00+00:00,0.01209493670886076
2015-05-21,2015-05-21 09:30:00+00:00,0.04348148148148149
2015-05-22,2015-05-22 09:30:00+00:00,0.051943478260869556
2015-05-25,2015-05-25 09:30:00+00:00,0.005948437500000002
2015-05-26,2015-05-26 09:30:00+00:00,0.1196125
2015-05-27,2015-05-27 09:30:00+00:00,0.0038999999999999946
2015-05-28,2015-05-28 09:30:00+00:00,0.09467636363636364
2015-05-29,2015-05-29 09:30:00+00:00,0.09875454545454543
2015-06-01,2015-06-01 09:30:00+00:00,0.016595161290322576
2015-06-02,2015-06-02 09:30:00+00:00,-0.05641153846153847
2015-06-03,2015-06-03 09:30:00+00:00,0.08911304347826086
2015-06-04,2015-06-04 09:30:00+00:00,-0.060608196721311465
